card,group,scene,policy,upgraded,mode,control,n,before_valid,after_valid,before_dwin_pp,after_dwin_pp,after_ci95_lo_pp,after_ci95_hi_pp,before_dhp,after_dhp,before_dturns,after_dturns,before_plays,after_plays,before_ready_plays,after_ready_plays,after_seen_turns,after_playable_turns,after_empty_plays,after_unused_qi,before_aborts,after_aborts,final_source
hengsaoqianjun,primary,combo-3qi,greedy,1,add2,skip,300,True,True,-11.6667,1.3333,-5.6517,8.2744,-5.64333,0.49333,-0.18667,-0.55333,971,900,106,92,1166,1008,0,72,0,0,lowhp-hengsao
hengsaoqianjun,primary,combo-3qi,greedy,1,replace,changshanzhaozilong,300,True,True,-6.6667,-1.0,-3.3177,1.3506,-6.28,-2.05,0.35667,0.11333,598,575,52,49,655,575,0,53,0,0,lowhp-hengsao
hengsaoqianjun,primary,combo-3qi,tactical,0,add1,skip,300,True,True,-1.6667,0.6667,-6.4422,7.7535,-2.23667,-1.06667,-0.16667,-0.32333,386,442,298,291,670,655,0,39,0,0,lowhp-hengsao
hengsaoqianjun,primary,combo-3qi,tactical,0,add2,skip,300,True,True,-11.3333,-1.6667,-9.3878,6.1094,-5.72,-3.26,-0.06,-0.29333,599,726,434,441,1212,1181,0,57,0,0,lowhp-hengsao
hengsaoqianjun,primary,combo-3qi,tactical,0,replace,changshanzhaozilong,300,True,True,-4.3333,-2.0,-6.0717,2.1376,-3.09333,-1.92333,0.14333,-0.01333,386,442,298,291,670,655,0,39,0,0,lowhp-hengsao
hengsaoqianjun,primary,combo-3qi,tactical,1,add1,skip,300,True,True,2.0,4.3333,-2.4245,10.9485,0.04,2.54333,-0.38333,-0.61667,433,481,321,307,648,634,0,31,0,0,lowhp-hengsao
hengsaoqianjun,primary,combo-3qi,tactical,1,add2,skip,300,True,True,-0.6667,4.3333,-2.8316,11.3555,-2.64,2.18667,-0.36333,-0.80667,700,782,483,467,1126,1103,0,51,0,0,lowhp-hengsao
hengsaoqianjun,primary,combo-3qi,tactical,1,replace,changshanzhaozilong,300,True,True,-2.3333,0,-3.6513,3.6513,-2.78,-0.27667,0.17667,-0.05667,433,481,321,307,648,634,0,31,0,0,lowhp-hengsao
hengsaoqianjun,primary,combo-4qi,greedy,0,add1,skip,300,True,True,1.0,7.0,-0.226,13.9955,-0.12667,1.22667,-0.33333,-0.48333,466,469,113,66,487,466,0,186,0,0,lowhp-hengsao
hengsaoqianjun,primary,combo-4qi,greedy,0,add2,skip,300,True,True,1.0,7.6667,0.467,14.6138,-0.21333,2.15,-0.50667,-0.68667,771,782,204,113,843,802,0,262,0,0,lowhp-hengsao
